Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-07-13 4:43:16,32.3182,-86.9023,53587,1121,25783,26683,1,1092.901859,511506,6745,2.09192528,84000001,USA,10432.11708,12.58700804
Alaska,US,2020-07-13 4:43:16,61.3707,-152.4044,1479,17,615,847,2,202.1748491,145475,,1.149425287,84000002,USA,19885.99471,
American Samoa,US,2020-07-13 4:43:16,-14.271,-170.132,0,0,,0,60,0,816,,,16,ASM,1466.544455,
Arizona,US,2020-07-13 4:43:16,33.7298,-111.4312,122467,2237,14829,105401,4,1682.535535,696172,5795,1.826614517,84000004,USA,9564.487807,4.731886957
Arkansas,US,2020-07-13 4:43:16,34.9697,-92.3731,28367,321,21591,6455,5,939.9881503,382402,1822,1.131596573,84000005,USA,12671.53201,6.422956252
California,US,2020-07-13 4:43:16,36.1162,-119.6816,324543,7051,,317492,6,821.3736797,5406599,,2.172593462,84000006,USA,13683.35819,
Colorado,US,2020-07-13 4:43:16,39.0598,-105.3111,36895,1725,4749,30421,8,640.6787878,392103,5885,4.675430275,84000008,USA,6808.837912,15.95067082
Connecticut,US,2020-07-13 4:43:16,41.5978,-72.7554,47287,4348,8351,34588,9,1326.316787,558209,10552,9.19491615,84000009,USA,15656.77602,22.31480111
Delaware,US,2020-07-13 4:43:16,39.3185,-75.5071,12804,517,7120,5167,10,1314.897655,137409,,4.037800687,84000010,USA,14111.11933,
Diamond Princess,US,2020-07-13 4:43:16,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,2020-07-13 4:43:16,38.8974,-77.0268,10847,568,1737,8542,11,1536.948689,126883,,5.236470914,84000011,USA,17978.4881,
Florida,US,2020-07-13 4:43:16,27.7663,-81.6868,269811,4242,,265569,12,1256.235701,2574007,18590,1.572211659,84000012,USA,11984.53543,6.890008191
Georgia,US,2020-07-13 4:43:16,33.0406,-83.6431,116935,3003,,113932,13,1101.350111,1083416,13259,2.568093385,84000013,USA,10204.13334,11.33877795
Grand Princess,US,2020-07-13 4:43:16,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,2020-07-13 4:43:16,13.4443,144.7937,310,5,202,103,66,188.7608157,16979,,1.612903226,316,GUM,10338.61255,
Hawaii,US,2020-07-13 4:43:16,21.0943,-157.4983,1220,19,872,329,15,86.16598111,93920,125,1.557377049,84000015,USA,6633.367988,10.24590164
Idaho,US,2020-07-13 4:43:16,44.2405,-114.4788,10903,102,3114,7687,16,610.1065154,125261,468,0.9355223333,84000016,USA,7009.314155,4.292396588
Illinois,US,2020-07-13 4:43:16,40.3495,-88.9861,155048,7388,,147660,17,1223.565263,1984114,,4.764976007,84000017,USA,15657.68645,
Indiana,US,2020-07-13 4:43:16,39.8494,-86.2583,51612,2760,38623,10229,18,766.6417269,564647,7527,5.347593583,84000018,USA,8387.23458,14.58381772
Iowa,US,2020-07-13 4:43:16,42.0115,-93.2105,35410,752,26234,8424,19,1122.320582,374413,,2.123693872,84000019,USA,11867.02672,
Kansas,US,2020-07-13 4:43:16,38.5266,-96.7265,18981,297,905,17779,20,651.5260628,217779,1304,1.564722617,84000020,USA,7475.301324,6.870027923
Kentucky,US,2020-07-13 4:43:16,37.6681,-84.6701,19389,625,5322,13442,21,433.9843135,438170,2779,3.223477229,84000021,USA,9807.566489,14.33286915
Louisiana,US,2020-07-13 4:43:16,31.1695,-91.8678,78122,3416,46334,28372,22,1680.478851,934995,,4.37264791,84000022,USA,20112.63566,
Maine,US,2020-07-13 4:43:16,44.6939,-69.3819,3539,114,2994,431,23,263.2769236,122314,371,3.22124894,84000023,USA,9099.30874,10.48318734
Maryland,US,2020-07-13 4:43:16,39.0639,-76.8021,73109,3319,5230,64560,24,1209.276707,643391,11420,4.539796742,84000024,USA,10642.16101,15.62051184
Massachusetts,US,2020-07-13 4:43:16,42.2302,-71.5301,111597,8325,94347,8925,25,1619.107021,957480,11608,7.459877954,84000025,USA,13891.61528,10.40171331
Michigan,US,2020-07-13 4:43:16,43.3266,-84.5361,76776,6314,53867,16595,26,768.7703949,1296155,,8.223924143,84000026,USA,12978.60778,
Minnesota,US,2020-07-13 4:43:16,45.6945,-93.9002,42281,1540,36582,4159,27,749.7120379,755052,4399,3.642297959,84000027,USA,13388.32037,10.40420047
Mississippi,US,2020-07-13 4:43:16,32.7416,-89.6787,36287,1249,22167,12871,28,1219.260192,335211,3495,3.442004023,84000028,USA,11263.24656,9.631548488
Missouri,US,2020-07-13 4:43:16,38.4561,-92.2884,27880,1092,,26788,29,454.2619482,485508,,3.916786227,84000029,USA,7910.610112,
Montana,US,2020-07-13 4:43:16,46.9219,-110.4544,1758,29,865,864,30,164.4869187,114661,128,1.64960182,84000030,USA,10728.23355,7.281001138
Nebraska,US,2020-07-13 4:43:16,41.1254,-98.2681,21172,285,15724,5163,31,1094.49506,208103,1421,1.346117514,84000031,USA,10757.96833,6.711694691
Nevada,US,2020-07-13 4:43:16,38.3135,-117.0554,27683,593,764,26326,32,898.75318,347556,,2.142108875,84000032,USA,11283.7142,
New Hampshire,US,2020-07-13 4:43:16,43.4525,-71.5639,6054,391,5013,650,33,445.2416727,133389,589,6.458539808,84000033,USA,9810.099352,9.729104724
New Jersey,US,2020-07-13 4:43:16,40.2989,-74.521,175298,15525,31190,128583,34,1973.589847,1685604,20632,8.856347477,84000034,USA,18977.3468,11.76967222
New Mexico,US,2020-07-13 4:43:16,34.8405,-106.2485,15028,545,6271,8212,35,716.7012665,410754,2187,3.626563748,84000035,USA,19589.29412,14.55283471
New York,US,2020-07-13 4:43:16,42.1657,-74.9481,401706,32350,71565,297791,36,2064.948417,4673195,89995,8.053153301,84000036,USA,24022.31139,22.40320035
North Carolina,US,2020-07-13 4:43:16,35.6301,-79.8064,85771,1522,55318,28931,37,817.7947469,1199575,,1.774492544,84000037,USA,11437.50374,
North Dakota,US,2020-07-13 4:43:16,47.5289,-99.784,4334,87,3570,677,38,568.7201304,122479,271,2.007383479,84000038,USA,16072.05188,6.252884172
Northern Mariana Islands,US,2020-07-13 4:43:16,15.0979,145.6739,33,2,19,12,69,59.84331931,10767,4,6.060606061,580,MNP,19525.243,12.12121212
Ohio,US,2020-07-13 4:43:16,40.3888,-82.7649,65592,3058,44663,17871,39,561.1381543,1006386,8842,4.662153921,84000039,USA,8609.610663,13.48030248
Oklahoma,US,2020-07-13 4:43:16,35.5653,-96.9289,20235,422,15485,4328,40,511.3759995,420272,2032,2.085495429,84000040,USA,10621.05333,10.04200642
Oregon,US,2020-07-13 4:43:16,44.572,-122.0709,12170,234,3009,8927,41,288.5433587,296172,1180,1.922760887,84000041,USA,7022.05946,9.695973706
Pennsylvania,US,2020-07-13 4:43:16,40.5908,-77.2098,99794,6904,73354,19536,42,779.519495,924284,,6.918251598,84000042,USA,7219.846853,
Puerto Rico,US,2020-07-13 4:43:16,18.2208,-66.5901,9654,167,,9487,72,329.1052591,202340,,1.729852911,630,PRI,6897.778966,
Rhode Island,US,2020-07-13 4:43:16,41.6809,-71.5118,17312,976,1685,14651,44,1634.192688,166655,2051,5.637707948,84000044,USA,15731.65333,11.84727357
South Carolina,US,2020-07-13 4:43:16,33.8569,-80.945,56648,961,20957,34730,45,1100.235904,492508,3398,1.696441181,84000045,USA,9565.650763,5.998446547
South Dakota,US,2020-07-13 4:43:16,44.2998,-99.4388,7499,109,6522,868,46,847.6712496,90608,738,1.453527137,84000046,USA,10242.1385,9.841312175
Tennessee,US,2020-07-13 4:43:16,35.7478,-86.6923,61960,741,35855,25364,47,907.2839556,1018015,3250,1.19593286,84000047,USA,14906.85404,5.245319561
Texas,US,2020-07-13 4:43:16,31.0545,-97.5635,262762,3216,132638,126908,48,906.2045744,2492754,,1.223921267,84000048,USA,8596.924508,
Utah,US,2020-07-13 4:43:16,40.15,-111.8624,29484,215,17303,11966,49,919.662703,413058,1824,0.7292090625,84000049,USA,12884.07396,6.186406186
Vermont,US,2020-07-13 4:43:16,44.0459,-72.7107,1296,56,1089,151,50,207.695969,75851,,4.320987654,84000050,USA,12155.82326,
Virgin Islands,US,2020-07-13 4:43:16,18.3358,-64.8963,181,6,93,82,78,168.7362494,4089,,3.314917127,850,VIR,3811.947645,
Virginia,US,2020-07-13 4:43:16,37.7693,-78.17,70670,1966,9310,59394,51,827.9519968,804045,10355,2.781944248,84000051,USA,9419.989575,14.65261073
Washington,US,2020-07-13 4:43:16,47.4009,-121.4905,40656,1438,,39218,53,533.901133,668466,4662,3.53699331,84000053,USA,8778.403058,11.46694215
West Virginia,US,2020-07-13 4:43:16,38.4912,-80.9545,4244,96,2806,1342,54,236.8109312,207036,,2.262016965,84000054,USA,11552.40056,
Wisconsin,US,2020-07-13 4:43:16,44.2685,-89.6165,36448,820,28318,7310,55,625.9924973,693229,3824,2.249780509,84000055,USA,11906.17189,10.49165935
Wyoming,US,2020-07-13 4:43:16,42.756,-107.3025,1862,21,1372,469,56,321.7228587,39939,124,1.127819549,84000056,USA,6900.799815,6.659505908